ProccessID, countOfDetection, Time(ms), countOfDetection2, Time(ms2)
1,1,32230,1,29581
1,1,38609,1,28785
1,1,30255,1,27210
1,1,29015,1,29205
1,1,28231,1,29382
1,1,31903,1,32269
1,1,42139,1,31313
1,1,28845,1,39164
1,1,29542,1,28979
1,1,34467,1,27664
1,1,34612,1,29977
1,1,32664,1,34665
1,1,28720,1,39070
1,1,28002,1,29514
1,1,30106,1,31162
1,1,28101,1,39972
1,1,29652,1,27983
1,1,33941,1,30013
1,1,37826,1,29079
1,1,33274,1,27859
1,1,39588,1,29037
1,1,32749,1,29166
1,1,28749,1,33345
1,1,38372,1,39480
1,1,32632,1,28793
1,1,32930,1,34365
1,1,40398,1,38544
1,1,34163,1,30352
1,1,39424,1,31825
1,1,41294,1,38607
1,1,35024,1,32788
1,1,39702,1,39421
1,1,28702,1,34411
1,1,28144,1,41074
1,1,29975,1,32606
1,1,29370,1,40552
1,1,29584,1,33944
1,1,28303,1,35652
1,1,29496,1,32410
1,1,29481,1,27746
1,1,34071,1,29176
1,1,37913,1,29389
1,1,42809,1,29245
1,1,30344,1,28175
1,1,34185,1,29473
1,1,31023,1,33584
1,1,38527,1,39145
1,1,33030,1,34421
1,1,39574,1,39600
1,1,29201,1,32086
1,1,27790,1,34861
1,1,31080,1,40162
1,1,27403,1,27377
1,1,28606,1,38191
1,1,43536,1,30719
1,1,30214,1,29090
1,1,29278,1,27573
1,1,30538,1,30694
1,1,32454,1,27269
1,1,39526,1,34426
1,1,29626,1,39851
1,1,31776,1,29593
1,1,40621,1,31920
1,1,31184,1,29185
1,1,29868,1,38613
1,1,33671,1,30639
1,1,40099,1,33085
1,1,42079,1,30381
1,1,32916,1,38729
1,1,41781,1,29602
1,1,30756,1,33814
1,1,26700,1,39624
1,1,33911,1,35555
1,1,39952,1,39247
1,1,31433,1,33956
1,1,33349,1,39441
1,1,40347,1,29071
1,1,33752,1,29737
1,1,40280,1,33986
1,1,36477,1,38965
1,1,44018,1,33106
1,1,37511,1,39285
1,1,31030,1,34164
1,1,33610,1,39911
1,1,38154,1,35394
1,1,29242,1,46146
1,1,33666,1,38191
1,1,40464,1,32581
1,1,34287,1,29482
1,1,39932,1,39745
1,1,44181,1,29347
1,1,28680,1,32910
1,1,34197,1,39628
1,1,34267,1,34696
1,1,32557,1,40391
1,1,28838,1,34182
1,1,28697,1,38007
1,1,30190,1,32539
1,1,29294,1,40486
1,1,33420,1,27626
1,1,40389,1,30106
1,1,41354,1,28886
1,1,34007,1,29084
1,1,32284,1,29409
1,1,38480,1,33063
1,1,35445,1,39827
1,1,35969,1,34627
1,1,30248,1,39167
1,1,29355,1,34514
1,1,28999,1,39534
1,1,29219,1,33160
1,1,33891,1,39017
1,1,39596,1,28532
1,1,40390,1,29158
1,1,31512,1,29323
1,1,34318,1,28389
1,1,36167,1,33784
1,1,29725,1,39457
1,1,30530,1,34498
1,1,28948,1,38650
1,1,29830,1,32330
1,1,29125,1,40939
1,1,33463,1,29322
1,1,39054,1,28717
1,1,33594,1,28810
1,1,39900,1,27998
1,1,34360,1,29116
1,1,40768,1,32555
1,1,28121,1,39848
1,1,29470,1,34139
1,1,30207,1,38574
1,1,32490,1,35463
1,1,39373,1,32289
1,1,29129,1,37629
1,1,29155,1,27649
1,1,33691,1,35249
1,1,39817,1,29431
1,1,33913,1,32156
1,1,40517,1,36010
1,1,35116,1,29543
1,1,37042,1,33409
1,1,32112,1,39505
1,1,28521,1,34821
1,1,40438,1,38534
1,1,29880,1,35710
1,1,28002,1,39983
1,1,29760,1,28408
1,1,29230,1,29962
1,1,29190,1,33538
1,1,29106,1,38960
1,1,27844,1,28967
1,1,30682,1,27965
1,1,35495,1,28911
1,1,36753,1,28916
1,1,42581,1,30719
1,1,29419,1,29383
1,1,28637,1,27041
1,1,31273,1,34832
1,1,31455,1,39667
1,1,33445,1,32703
1,1,36696,1,40693
1,1,30298,1,27953
1,1,33201,1,28045
1,1,39656,1,34223
1,1,31585,1,30588
1,1,41077,1,39818
1,1,35649,1,28342
1,1,39482,1,33107
1,1,32951,1,31732
1,1,40278,1,38205
1,1,28360,1,35027
1,1,31055,1,40194
1,1,29601,1,33770
1,1,32812,1,38680
1,1,40468,1,34168
1,1,34014,1,39602
1,1,40141,1,28782
1,1,41665,1,28826
1,1,33524,1,32974
1,1,39664,1,38290
1,1,28065,1,35361
1,1,29145,1,39201
1,1,30138,1,33831
1,1,28415,1,39146
1,1,31137,1,34862
1,1,32236,1,38808
1,1,39758,1,27351
1,1,27200,1,28942
1,1,37493,1,29370
1,1,42893,1,28819
1,1,37394,1,32669
1,1,38175,1,40739
1,1,35054,1,29354
1,1,30347,1,33600
1,1,28160,1,53666
1,1,29174,1,30021
1,1,34035,1,33949
1,1,38305,1,39463
1,1,35200,1,28266
1,1,27737,1,29214
1,1,41533,1,28290
1,1,17305,1,16114
1,1,20578,1,14784
1,1,14135,1,15248
1,1,12387,1,19625
1,1,14956,1,15165
1,1,22065,1,15305
1,1,17393,1,25407
1,1,10473,1,18560
1,1,40752,1,40501
1,1,44263,1,38955
1,1,43922,1,28268
1,1,47004,1,41967
1,1,44343,1,32049
1,1,44488,1,41182
1,1,42047,1,44601
1,1,41013,1,43718
1,1,44271,1,45718
1,1,41753,1,45877
1,1,43523,1,45162
1,1,43871,1,41910
1,1,45373,1,40654
1,1,44149,1,44610
1,1,42059,1,42417
1,1,41780,1,42977
1,1,36745,1,44541
1,1,38430,1,45332
1,1,42673,1,43268
1,1,42273,1,42141
1,1,43570,1,42311
1,1,34500,1,36621
1,1,38940,1,38101
1,1,43832,1,43003
1,0,26384,0,42245
1,0,32525,0,43939
1,1,12687,1,16685
1,0,40405,0,43959
1,0,42623,0,30058
1,0,44944,0,36495
1,0,44691,0,29413
1,0,45200,0,29683
1,0,35856,0,43148
1,0,26923,0,42386
1,0,42796,0,45390
1,0,42534,0,44476
1,0,40000,0,44953
1,0,44205,0,46171
1,1,18067,1,17890
1,0,38908,0,42638
1,0,29491,0,43268
1,0,28320,0,39437
1,0,29273,0,42075
1,0,30240,0,34111
1,0,40878,0,38460
1,0,31186,0,28590
1,0,35588,0,29633
1,0,42210,0,28636
1,0,36619,0,32938
1,0,30804,0,38883
1,0,29613,0,34682
1,0,27608,0,44311
1,0,29725,0,36543
1,0,29470,0,30678
1,0,27027,0,29566
1,0,29013,0,29692
1,0,35248,0,27461
1,0,39901,0,29017
1,0,41226,0,29582
1,0,31936,0,27967
1,0,28988,0,32749
1,0,28955,0,40646
1,1,28434,1,35568
1,1,30047,1,38897
1,1,29233,1,29958
1,1,31455,1,30265
1,1,30451,1,29008
1,1,39050,1,27898
1,1,30764,1,29233
1,1,29412,1,33036
1,1,34267,1,29553
1,1,39058,1,38197
1,1,34463,1,31347
1,1,39233,1,29741
1,1,38322,1,33092
1,1,40632,1,38671
1,1,38154,1,34971
1,1,28278,1,39437
1,1,28357,1,34068
1,1,28935,1,31709
1,1,29982,1,50804
1,1,43399,1,30769
1,1,36775,1,28056
1,1,37600,1,29074
1,1,38132,1,28337
1,1,49283,1,34352
1,1,29176,1,44003
1,1,34830,1,39456
1,1,31570,1,34680
1,1,36941,1,47691
1,1,29159,1,36117
1,1,33415,1,29982
1,1,40119,1,32653
1,1,33723,1,40375
1,1,38607,1,28168
1,1,42386,1,33487
1,1,30824,1,39124
1,1,33668,1,34680
1,1,22525,1,39145
1,1,41411,1,34029
1,1,17046,1,23509
1,1,15622,1,17457
1,1,15599,1,11133
1,1,18603,1,14759
1,1,14937,1,26102
1,1,43875,1,31043
1,1,46501,1,40116
1,1,40188,1,33771
1,1,44313,1,37436
1,1,41516,1,45942
1,1,42601,1,44576
1,1,44736,1,43169
1,1,43051,1,44277
1,1,44903,1,41380
1,1,44080,1,42946
1,1,43826,1,44432
1,1,43733,1,43418
1,1,42226,1,44971
1,1,45128,1,43922
1,1,43593,1,44500
1,1,41932,1,42995
1,1,45787,1,42114
1,1,44161,1,45275
1,1,42950,1,43760
1,1,45208,1,42059
1,1,41857,1,46110
1,1,42587,1,44301
1,1,45873,1,42985
1,1,37960,1,44763
1,1,40566,1,42588
1,1,46099,1,43174
1,1,43937,1,46803
1,1,43919,1,43266
1,1,42961,1,39942
1,1,45851,1,46199
1,1,42799,1,42792
1,1,40803,1,43456
1,1,42891,1,42943
1,1,45661,1,45516
1,1,43738,1,42959
1,1,43378,1,39692
1,1,45106,1,41975
1,1,43669,1,45730
1,1,41832,1,43552
1,1,44735,1,43931
1,1,37535,1,43651
1,1,46293,1,44767
1,1,44171,1,41814
1,1,44408,1,42752
1,1,44801,1,37408
1,1,44669,1,47029
1,1,45662,1,44155
1,1,42972,1,44783
1,1,44652,1,44923
1,1,40083,1,44664
1,1,34677,1,45064
1,1,58414,1,42860
1,1,63868,1,44086
1,1,61730,1,41567
1,1,56065,1,34680
1,1,44677,1,58310
1,1,45392,1,63765
1,1,44401,1,61907
1,1,44125,1,57148
1,1,42328,1,45068
1,1,39976,1,45214
1,1,44574,1,44384
1,1,44139,1,44409
1,1,36758,1,42743
1,1,18746,1,17039
1,1,15442,1,21113
1,1,41579,1,42530
1,1,43727,1,44161
1,1,44990,1,36438
1,1,44524,1,35266
1,1,42594,1,44427
1,1,43030,1,43582
1,1,38214,1,45656
1,1,23949,1,43848
1,1,39976,1,42300
1,1,56024,1,42305
1,1,46233,1,38361
1,1,61215,1,29130
1,1,46414,1,49962
1,1,43902,1,55057
1,1,34601,1,60778
1,1,27989,1,50084
1,1,40455,1,44646
1,1,44326,1,38502
1,1,15482,1,30155
1,1,14239,1,18859
1,1,25903,1,22074
1,1,27402,1,33944
1,1,42225,1,38890
1,1,49173,1,35863
1,1,56755,1,22851
1,1,62024,1,33812
1,1,61892,1,44406
1,1,34469,1,59065
1,1,54703,1,58992
1,1,42541,1,53846
1,1,29852,1,55085
1,1,41550,1,49376
1,1,32151,1,43456
1,1,32496,1,39312
1,1,37413,1,31645
1,1,64619,1,39274
1,1,41868,1,33517
1,1,54967,1,31847
1,1,48613,1,44060
1,1,32137,1,60919
1,1,41621,1,61307
1,1,28375,1,49252
1,1,33196,1,32137
1,1,39748,1,32261
1,1,32222,1,36914
1,1,27722,1,33417
1,1,55834,1,39786
1,1,50121,1,29234
1,1,50348,1,34062
1,1,51874,1,27676
1,1,40673,1,59943
1,1,33064,1,47353
1,1,17446,1,32523
1,1,21798,1,36183
1,1,16642,1,14344
1,1,27222,1,22104
1,1,16199,1,15108
1,1,21199,1,16905
1,1,14201,1,12389
1,1,15155,1,14918
1,1,24746,1,20677
1,1,42191,1,34681
1,1,30724,1,27298
1,1,30845,1,36316
1,1,39716,1,35706
1,1,30677,1,27777
1,1,29443,1,37518
1,0,29286,0,33937
1,0,29232,0,29252
1,0,33500,0,39010
1,0,45698,0,28998
1,0,38126,0,29072
1,0,33866,0,29123
1,0,33037,0,33189
1,0,37318,0,39684
